,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,no2,no2,no2,no2,no2,no2,no2,no2,o3,o3,o3,o3,o3,o3,o3,o3,co,co,co,co,co,co,co,co,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
DK,1.0,0.7,,0.7,0.7,0.7,0.7,0.7,1.0,3.07,,3.07,3.07,3.07,3.07,3.07,1.0,0.78,,0.78,0.78,0.78,0.78,0.78,1.0,76.14,,76.14,76.14,76.14,76.14,76.14,1.0,102.18,,102.18,102.18,102.18,102.18,102.18,1.0,11.01,,11.01,11.01,11.01,11.01,11.01,1.0,66.0,,66.0,66.0,66.0,66.0,66.0
DO,2.0,1.965,0.3889087296526013,1.69,1.8275000000000001,1.965,2.1025,2.24,2.0,3.335,0.9970205614730321,2.63,2.9825,3.335,3.6875,4.04,2.0,0.28,0.0,0.28,0.28,0.28,0.28,0.28,2.0,36.870000000000005,1.8384776310850246,35.57,36.22,36.870000000000005,37.52,38.17,2.0,117.78,24.748737341529164,100.28,109.03,117.78,126.53,135.28,2.0,28.36,0.4525483399593908,28.04,28.2,28.36,28.52,28.68,2.0,75.5,0.7071067811865476,75.0,75.25,75.5,75.75,76.0
DZ,2.0,1.6500000000000001,1.159655121145938,0.83,1.24,1.6500000000000001,2.06,2.47,2.0,4.13,3.8042344827836256,1.44,2.785,4.13,5.475,6.82,2.0,2.67,0.12727922061357835,2.58,2.625,2.67,2.715,2.76,2.0,59.269999999999996,11.115718600252526,51.41,55.339999999999996,59.269999999999996,63.199999999999996,67.13,2.0,94.19999999999999,4.1860721446243625,91.24,92.72,94.19999999999999,95.67999999999999,97.16,2.0,13.585,1.336431816442574,12.64,13.1125,13.585,14.0575,14.53,2.0,78.0,4.242640687119285,75.0,76.5,78.0,79.5,81.0
EC,5.0,1.566,0.9948768768043612,0.5,0.5,1.94,2.42,2.47,5.0,4.968000000000001,4.169948440928257,0.5,0.5,6.53,8.65,8.66,5.0,0.008,0.00447213595499958,0.0,0.01,0.01,0.01,0.01,5.0,30.086000000000002,17.512670555914653,10.1,11.78,41.81,42.41,44.33,5.0,86.264,14.350283272465388,74.98,76.11,76.3,101.27,102.66,5.0,24.400000000000002,3.488473878359992,21.54,21.92,22.21,27.39,28.94,5.0,74.2,8.043631020876083,61.0,73.0,77.0,78.0,82.0
EG,2.0,4.585,0.1343502884254437,4.49,4.5375,4.585,4.6325,4.68,2.0,11.504999999999999,1.1384419177103424,10.7,11.1025,11.504999999999999,11.9075,12.31,2.0,0.33999999999999997,0.18384776310850234,0.21,0.275,0.33999999999999997,0.40499999999999997,0.47,2.0,95.805,5.7346359954229005,91.75,93.7775,95.805,97.8325,99.86,2.0,98.0,4.709331162702404,94.67,96.33500000000001,98.0,99.66499999999999,101.33,2.0,22.345,0.8131727983645312,21.77,22.0575,22.345,22.6325,22.92,2.0,70.5,4.949747468305833,67.0,68.75,70.5,72.25,74.0
ES,13.0,1.5507692307692305,0.9518706279257138,0.5,0.55,1.72,2.17,3.47,13.0,3.6830769230769227,2.624551976418657,0.76,1.02,4.62,5.36,7.69,13.0,1.4061538461538463,0.8280352092105189,0.21,0.71,1.18,2.1,2.59,13.0,68.63846153846154,18.637780557313256,42.85,54.93,67.47,76.61,100.39,13.0,97.96384615384615,5.9705102217224555,90.32,94.69,96.15,103.97,108.08,13.0,15.150769230769233,4.454812868382654,8.86,10.74,15.49,19.4,20.85,13.0,78.3076923076923,7.016464154456234,71.0,73.0,76.0,84.0,92.0
ET,3.0,1.663333333333333,1.1485788320064643,0.63,1.045,1.46,2.1799999999999997,2.9,3.0,6.926666666666667,8.032000581009276,1.9,2.295,2.69,9.440000000000001,16.19,3.0,0.4033333333333333,0.3696394639825858,0.18,0.19,0.2,0.515,0.83,3.0,22.996666666666666,10.300802557729828,11.11,19.84,28.57,28.939999999999998,29.31,3.0,109.59333333333335,23.837559298999835,90.56,96.225,101.89,119.11000000000001,136.33,3.0,22.333333333333332,4.362308257486319,18.5,19.96,21.42,24.25,27.08,3.0,76.66666666666667,16.19670748434179,58.0,71.5,85.0,86.0,87.0
FI,7.0,0.7671428571428571,0.6032886066031272,0.5,0.5,0.52,0.61,2.13,7.0,0.8600000000000001,0.6048415770541353,0.5,0.605,0.68,0.7050000000000001,2.22,7.0,1.7014285714285715,0.6788575837741072,0.8,1.115,1.98,2.2249999999999996,2.45,7.0,46.93714285714286,14.797159315541743,27.45,36.565,47.65,56.17,67.99,7.0,125.77571428571426,5.909342482157263,117.64,122.03999999999999,124.64,130.01999999999998,134.03,7.0,3.400000000000001,2.6998209817195904,0.79,1.18,1.99,5.905,6.85,7.0,93.71428571428571,3.728908942943218,89.0,91.5,92.0,96.5,99.0
FJ,2.0,3.165,0.48790367901871773,2.82,2.9924999999999997,3.165,3.3375,3.51,2.0,13.809999999999999,0.4101219330881976,13.52,13.665,13.809999999999999,13.955,14.1,2.0,0.025,0.007071067811865474,0.02,0.0225,0.025,0.0275,0.03,2.0,44.345,10.684383463728732,36.79,40.567499999999995,44.345,48.1225,51.9,2.0,75.53999999999999,0.48083261120684706,75.2,75.37,75.53999999999999,75.71,75.88,2.0,26.365000000000002,1.3930003589375004,25.38,25.8725,26.365000000000002,26.8575,27.35,2.0,62.5,4.949747468305833,59.0,60.75,62.5,64.25,66.0
FK,2.0,6.705,0.16263455967290624,6.59,6.6475,6.705,6.7625,6.82,2.0,14.915,0.5161879502661787,14.55,14.7325,14.915,15.0975,15.28,2.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,2.0,47.58,1.2586500705120554,46.69,47.135,47.58,48.025,48.47,2.0,72.43,0.4525483399593908,72.11,72.27,72.43,72.59,72.75,2.0,7.5,0.12727922061357835,7.41,7.455,7.5,7.545,7.59,2.0,90.5,4.949747468305833,87.0,88.75,90.5,92.25,94.0
