datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature
2025-10-30T22:11:01,39.60784463475312,-50.39719132867873,,,2.65,11.99,0.33,0.16,89.37,96.99,78,12.38,19.09
2025-10-30T22:11:00,78.81622657459448,-135.24596144154881,,,0.5,0.5,0.0,0.02,77.95,109.43,100,2.2,-19.02
2025-10-30T22:10:59,-87.7556706958357,0.012448964140332919,,,0.5,0.5,0.0,0.0,31.37,53.39,85,7.23,-33.46
2025-10-30T22:10:58,49.04051899170898,-20.241228561949583,,,0.74,3.4,0.15,0.11,88.62,95.27,66,13.68,12.02
2025-10-30T22:10:57,-23.62746974373252,-156.38976104820412,,,2.16,7.85,0.01,0.1,39.98,74.07,90,7.55,22.29
2025-10-30T22:10:56,45.667887617258856,164.88440574019978,,,0.54,1.66,0.21,0.24,77.34,108.01,70,6.41,6.92
2025-10-30T22:10:54,8.82157060158498,-104.28952301140295,,,1.72,6.16,0.01,0.11,27.67,77.52,84,1.33,25.3
2025-10-30T22:10:53,-82.73300780116392,12.158731137259679,,,0.5,0.5,0.0,0.0,33.06,54.86,82,6.87,-30.22
2025-10-30T22:10:52,9.41559921152539,74.81013034322245,,,1.67,6.89,0.93,0.6,34.04,97.83,73,4.27,27.77
2025-10-30T22:10:51,-47.43010391755937,-158.68830177270485,,,1.25,6.16,0.01,0.12,48.59,65.97,84,12.21,9.75
2025-10-30T22:10:50,-9.736486688551949,-99.58077199697141,,,1.99,8.01,0.01,0.15,60.04,74.63,70,7.12,21.85
2025-10-30T22:10:49,-10.301410631732182,-128.5583633075385,,,0.99,3.65,0.01,0.08,38.75,72.4,73,6.94,25.03
2025-10-30T22:10:48,-84.40431323004965,-0.048700641466268735,,,0.5,0.5,0.0,0.0,32.99,54.12,88,8.07,-28.58
2025-10-30T22:10:47,60.18617442826397,-4.300185821582801,GB,Pierowall,0.93,3.61,0.56,0.15,78.62,101.38,79,19.18,9.92
2025-10-30T22:10:46,51.669320160612386,-31.304722162965817,,,0.97,4.33,0.08,0.07,80.89,98.32,69,12.69,9.5
2025-10-30T22:10:45,35.07263911360427,38.97276872772511,SY,As Sukhnah,12.4,43.9,1.71,0.37,66.51,115.11,21,2.06,16.89
2025-10-30T22:10:44,10.947067376501266,77.45693632914231,IN,Kangayam,12.51,20.91,5.02,1.43,10.02,310.38,92,4.89,22.06
2025-10-30T22:10:43,88.90189507305149,5.589384778861529,,,0.5,0.5,0.0,0.03,78.11,111.71,91,5.55,-11.04
2025-10-30T22:10:42,-8.734574156013679,131.01751061347488,ID,Olilit,2.05,3.18,0.03,0.03,35.85,103.07,66,1.92,28.39
2025-10-30T22:10:41,81.24594781405403,132.51051204309562,,,0.5,0.64,0.0,0.04,73.02,112.08,100,2.35,-17.82
2025-10-30T22:10:40,-43.41032191212499,171.10151126023004,NZ,Canterbury,0.5,0.5,0.14,0.02,45.53,63.08,76,4.47,3.38
2025-10-30T22:10:39,16.14275750774155,-63.07981740384362,MS,Webbs,2.34,5.81,1.72,0.32,44.28,123.36,76,6.07,28.8
2025-10-30T22:10:38,16.020500561466648,94.16210949433662,MM,Tingyaung,1.89,3.51,0.03,0.08,40.71,115.8,85,5.65,27.09
2025-10-30T22:10:37,11.848545729755202,95.49214207383181,,,0.73,1.3,0.08,0.02,37.28,94.62,81,4.72,27.3
2025-10-30T22:10:36,-50.80967872039218,161.32424616541596,,,1.25,5.18,0.0,0.14,50.66,67.79,64,11.4,6.98
2025-10-30T22:10:35,-28.952959548994883,-119.46044177204038,,,1.66,7.17,0.01,0.09,53.34,65.12,68,6.23,19.05
2025-10-30T22:10:34,-60.32517410634046,-83.29604184172233,,,0.5,1.57,0.01,0.1,48.49,65.76,83,10.15,3.39
2025-10-30T22:10:33,-41.59111225390478,-85.79276082592935,,,1.58,5.34,0.01,0.19,47.57,66.62,84,9.96,10.26
2025-10-30T22:10:32,-24.24574030457488,169.91390028784633,,,1.75,2.45,0.07,0.06,21.37,67.39,89,4.03,24.14
2025-10-30T22:10:31,66.75324410704081,113.03764752270496,RU,Udachny,0.5,0.5,0.1,0.02,76.11,104.55,98,3.36,-17.05
2025-10-30T22:10:30,0.6360101671100011,78.3412290338407,,,0.8,3.36,0.02,0.04,24.87,75.94,74,5.06,27.79
2025-10-30T22:10:28,-82.53714170708595,-132.59530078253195,,,0.5,0.5,0.0,0.0,41.42,67.22,79,3.29,-15.21
2025-10-30T22:10:27,-82.38509245805109,-136.78352099443197,,,0.5,0.5,0.0,0.0,39.5,69.2,79,3.28,-14.23
2025-10-30T22:10:26,-18.757418828678453,-42.038017435804505,BR,Governador Valadares,4.47,5.25,4.26,1.44,34.92,162.1,88,3.18,22.47
2025-10-30T22:10:25,-21.456557136037375,98.18026792885814,,,1.08,3.84,0.04,0.08,67.77,71.27,63,4.73,20.37
2025-10-30T22:10:24,-47.61363547536089,172.75156156055647,,,0.75,3.39,0.0,0.09,48.17,66.19,73,13.59,6.69
2025-10-30T22:10:23,-45.80593100928402,51.662839529753285,,,0.5,2.51,0.0,0.08,46.15,65.79,63,13.01,2.77
2025-10-30T22:10:22,-9.290223380273005,-134.968652037279,,,1.12,5.85,0.01,0.11,48.11,70.74,71,6.61,25.64
2025-10-30T22:10:21,68.06705814577143,-6.603910062333227,,,0.5,0.55,0.03,0.05,89.2,102.9,74,6.48,2.26
2025-10-30T22:10:20,-88.781823860397,-179.0320251259656,,,0.0,0.0,0.0,0.0,0.0,0.0,98,6.77,-38.17
2025-10-30T22:10:19,0.7913264399324049,-43.0005179736051,,,4.32,19.0,0.11,0.15,36.32,100.57,85,5.68,26.68
2025-10-30T22:10:18,13.017095679405656,105.22443047801738,KH,Cambodia,24.37,30.24,5.55,0.62,6.76,638.52,99,1.35,23.62
2025-10-30T22:10:17,-18.122934491139205,169.93585515263425,,,3.8,14.02,0.02,12.72,26.89,73.11,74,4.88,26.37
2025-10-30T22:10:16,-17.34682130521729,-36.717882649890555,,,2.44,10.29,0.16,0.13,48.11,84.66,78,5.46,24.94
2025-10-30T22:10:15,-37.82893791586345,48.009089984925396,,,1.09,4.62,0.01,0.14,45.99,65.94,56,12.56,11.51
2025-10-30T22:10:14,85.06714120671688,-12.196339004931332,,,0.5,0.5,0.0,0.02,81.18,113.94,100,2.3,-15.71
2025-10-30T22:10:13,-60.62909872391883,-136.4602935857559,,,0.5,1.67,0.0,0.12,46.02,66.21,91,12.24,-0.53
2025-10-30T22:10:12,34.989605361194634,-21.689123860264317,,,2.09,7.82,0.12,0.14,98.28,89.31,80,7.66,21.21
2025-10-30T22:10:11,33.2637090698675,-88.16403522001191,US,Carrollton,4.6,5.2,0.92,0.81,82.69,123.42,59,3.55,14.48
2025-10-30T22:10:10,-66.56362412711994,-174.31500410168044,,,0.55,3.43,0.0,0.17,40.7,68.99,87,8.96,-12.77
2025-10-30T22:10:09,-25.088234399044495,-108.25102210485413,,,0.62,2.42,0.01,0.06,48.32,71.63,67,4.93,21.44
2025-10-30T22:10:08,80.37949722448451,6.2480396092403225,,,0.5,0.62,0.03,0.03,72.08,108.74,93,4.03,-0.88
2025-10-30T22:10:07,-16.053965683337992,141.72399039878457,AU,Carpentaria,2.12,8.9,0.03,0.04,11.37,74.9,52,3.87,31.13
2025-10-30T22:10:06,27.258509605206584,7.058481936877769,DZ,Bordj Omar Driss,35.26,147.86,0.05,0.04,48.91,95.88,32,3.0,23.46
