datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature,pm10_class_predicted,pm10_high_probability,pm10_class_true
2025-10-30 21:58:50,-0.2282435312722839,124.4368256526704,ID,Molibagu,1.27,1.33,0.12,0.02,32.23,124.54,73,2.39,28.63,0,0.08614466569453691,0
2025-10-30 21:58:49,-32.0607491161348,26.351726397916423,ZA,Eastern Cape,2.78,5.04,2.11,0.72,46.68,107.11,86,1.91,12.84,0,0.3753034498770022,1
2025-10-30 21:58:47,52.70797148674208,-134.12197672472354,CA,Kaisun,3.78,11.56,0.39,0.77,93.91,93.52,87,20.09,11.14,1,0.9193146706009695,1
2025-10-30 21:58:44,54.41954984939434,87.88386690853702,RU,Priiskovoe,3.2,3.66,1.06,0.31,49.09,127.31,86,1.87,1.56,0,0.011224855416719394,0
2025-10-30 21:58:40,-8.563065083607569,-78.90899891866526,PE,Virú,5.4,17.39,0.05,0.22,54.9,69.49,88,3.79,17.83,1,0.6825570083493656,1
2025-10-30 21:58:22,-23.27283969694048,-151.9868696756786,PF,Moerai,2.78,7.25,0.01,0.12,38.56,74.15,75,6.2,23.62,1,0.8396529660021668,1
2025-10-30 21:58:20,51.91701670857782,106.85378114329524,RU,Selenginsk,0.5,0.5,0.69,0.07,62.68,107.94,96,4.98,1.4,0,0.012443150377660143,0
2025-10-30 21:58:18,21.51168041186392,-79.90845759063646,CU,Venegas,4.37,8.71,0.24,0.67,89.36,104.78,72,7.37,27.6,1,0.7441420581942535,1
2025-10-30 21:58:13,-30.64494769546606,-53.33151566711763,BR,Caçapava do Sul,0.5,0.77,0.38,0.04,47.73,66.44,84,3.71,15.11,1,0.5210758613439547,0
2025-10-30 21:58:12,43.43657066908594,40.50757022298677,GE,Ritsa,1.19,1.68,0.31,0.22,87.88,112.78,81,3.17,-1.16,0,0.011559112538281109,0
2025-10-30 21:58:02,64.3481202392054,-36.02420584151395,GL,Kap Dan,0.5,0.6,0.03,0.02,86.39,102.44,57,7.9,3.47,0,0.034854970870720474,0
2025-10-30 21:57:53,17.881107427948038,-95.75175237782832,MX,Playa Vicente,2.05,3.01,0.41,0.5,78.58,95.1,73,3.39,25.29,1,0.5244807930228492,0
2025-10-30 21:57:43,47.20568348306412,-4.0027375288511,FR,Groix,2.5,6.32,1.77,1.21,83.49,99.03,80,12.24,15.88,1,0.8421017707824413,1
2025-10-30 21:57:38,-37.10332347623768,138.09433771759916,AU,Robe,1.32,1.62,0.49,0.2,59.29,71.48,86,2.77,14.31,0,0.4195127794449881,0
2025-10-30 21:57:37,62.584654864710615,62.65561331997248,RU,Khulimsunt,1.07,1.08,1.32,0.01,23.2,133.18,97,2.92,2.08,0,0.011377818349659386,0
2025-10-30 21:57:27,42.48632259880228,73.40752745032171,KZ,Granitogorsk,3.24,3.99,1.59,0.34,85.96,102.77,38,4.82,-8.05,0,0.00536369459136226,0
2025-10-30 21:57:23,64.88628952777947,149.07831677413105,RU,Zyryanka,0.5,0.5,0.03,0.1,91.95,104.39,78,1.3,-25.43,0,0.004796366991191302,0
2025-10-30 21:57:17,54.38370569063292,-76.02535621995878,CA,Kuujjuarapik,0.76,0.92,0.63,0.02,40.19,95.34,61,1.19,3.31,0,0.023468086070630095,0
2025-10-30 21:57:07,59.293326087127525,123.05799601894552,RU,Grishko,0.5,0.5,0.1,0.0,50.07,119.55,96,1.35,-10.2,0,0.010168604454320244,0
2025-10-30 21:57:06,54.36920443394007,-3.799195358386868,GB,Seascale,0.67,0.83,1.82,0.35,81.11,97.72,88,20.14,10.2,1,0.8985648248578701,0
2025-10-30 21:57:05,16.685281646835648,99.36611105522871,TH,Kosamphi Nakhon,6.06,6.26,0.2,0.02,14.84,135.81,96,1.36,23.18,0,0.1410634055035519,1
2025-10-30 21:56:57,-5.918447323100622,138.1875655438189,ID,Special Region of Papua,0.65,0.89,0.02,0.01,15.99,73.22,83,1.84,25.92,0,0.4236452340636725,0
2025-10-30 21:56:56,-19.88759484291292,163.97035491854945,NC,Poum,3.05,4.99,0.14,0.19,25.23,71.33,83,4.27,26.28,1,0.6924597303015896,1
2025-10-30 21:56:54,7.820879665139657,13.144560436493322,CM,Mbi Djoro,5.91,13.54,1.28,0.06,16.48,153.32,60,1.41,23.33,0,0.21020023733572907,1
2025-10-30 21:56:40,35.917423868085535,125.07661730740487,KR,Sŏnyŏl-li,10.45,15.02,1.03,1.73,95.81,132.92,59,3.71,16.14,1,0.5605132148560583,1
2025-10-30 21:56:39,22.569726115110385,-81.41017120500737,CU,Pedro Betancourt,3.27,11.26,0.21,0.38,98.3,92.94,56,3.47,26.08,1,0.6077135002467998,1
2025-10-30 21:56:38,18.907431177582865,-81.78468878045936,KY,Lambert House,2.73,7.4,0.12,0.13,93.63,98.66,75,7.46,27.74,1,0.6402731408470178,1
